ins_number,official_name,source_type,sources,functional_classes,codex_category
631,Disodium 5'-ribonucleotides,synthetic,,flavour enhancer,Flavour enhancers
941,Dimethylpolysiloxane,synthetic,air,antifoaming agent|propellant,"Gases, waxes and propellants"
999,Quillaia extract,plant,Quillaia saponaria,foaming agent|flavour enhancer,Sweeteners
420,Sorbitol,plant,corn,humectant|sweetener|emulsifier|stabilizer|thickener,"Thickeners, stabilisers, emulsifiers and gelling agents"
553b,Talc,mineral,,anticaking agent,"pH adjusters, anti-caking and anti-foaming agents"
102,Tartrazine,synthetic,,color,Colours
110,"Sunset yellow FCF, Orange yellow S",synthetic,,color,Colours
100,Curcumin,plant,turmeric,color,Colours
162,Beetroot Red,plant,beetroot,color,Colours
163,Anthocyanins,plant,grape skin|berries|red cabbage,color,Colours
171,Titanium dioxide,mineral,,color,Colours
141,Copper complexes of chlorophylls,plant,,color,Colours
160a(i),"Beta-carotene, vegetable",plant,carrot,color,Colours
129,Allura Red AC,synthetic,,color,Colours
133,Brilliant Blue FCF,synthetic,,color,Colours
132,"Indigotine, Indigo carmine",synthetic,,color,Colours
127,Erythrosine,synthetic,,color,Colours
124,Ponceau 4R,synthetic,,color,Colours
122,"Azorubine, Carmoisine",synthetic,,color,Colours
101(i),Riboflavin,synthetic,,color,Colours
150a,Plain caramel,plant,sugarcane|corn|wheat|potato|glucose syrup,color,Colours
150c,Ammonia caramel,plant,sugarcane|corn|wheat|potato|glucose syrup,color,Colours
150d,Sulphite ammonia caramel,plant,sugarcane|corn|wheat|potato|glucose syrup,color,Colours
160b,Annatto extracts,plant,annatto seeds,color,Colours
160c,Paprika extract,plant,paprika,color,Colours
163c,Grape skin extract,plant,grape skin,color,Colours
160a,"Carotenes, mixed",plant,carrot|algae|tomato|pumpkin,color,Colours
472e,Diacetyltartaric and fatty acid esters of glycerol,animal,palm|soybean|sunflower|rapeseed|lard|tallow,emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
161g,Canthaxanthin,synthetic,algae,color,Colours
1100,alpha-Amylase,synthetic,barley malt|animal pancreas|Bacillus subtilis,flour treatment agent,Enzymes
224,Potassium metabisulphite,synthetic,,preservative|antioxidant,Preservatives
202,Potassium sorbate,synthetic,,preservative,Preservatives
428,Gelatine,animal,fish,thickener|stabilizer|emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
1104,Lipases,synthetic,animal pancreas|fungi,flavour enhancer,Enzymes
152,Polyethylene glycol,synthetic,,carrier,Colours
472,Esters of mono- and diglycerides of fatty acids,animal,palm|soybean|sunflower|rapeseed|lard|tallow,emulsifier|stabilizer,"Thickeners, stabilisers, emulsifiers and gelling agents"
960,Steviol glycosides,plant,stevia|Citrus aurantium,sweetener|flavour enhancer,Sweeteners
575,Glucono-delta-lactone,synthetic,corn,acidity regulator|sequestrant|raising agent,"pH adjusters, anti-caking and anti-foaming agents"
451,Triphosphates,synthetic,,emulsifier|sequestrant|stabilizer,"Thickeners, stabilisers, emulsifiers and gelling agents"
452,Polyphosphates,synthetic,,emulsifier|sequestrant|stabilizer,"Thickeners, stabilisers, emulsifiers and gelling agents"
415,Xanthan gum,plant,corn|fermented glucose,thickener|stabilizer|emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
950,Acesulfame potassium,synthetic,,sweetener,Sweeteners
466,Sodium carboxymethylcellulose,plant,wood pulp|cotton linter,thickener|stabilizer|emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
414,Gum arabic,plant,acacia gum,thickener|stabilizer|emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
470a,"Sodium, potassium and calcium salts of fatty acids",animal,palm|soybean|sunflower|rapeseed|lard|tallow,emulsifier|stabilizer|anticaking agent,"Thickeners, stabilisers, emulsifiers and gelling agents"
508,Calcium chloride,mineral,sylvite,firming agent|flour treatment agent|flavour enhancer|stabilizer|thickener|gelling agent,"pH adjusters, anti-caking and anti-foaming agents"
1102,Glucose oxidase,synthetic,Aspergillus niger|Penicillium,antioxidant|flour treatment agent,Enzymes
422,Glycerol,synthetic,palm|soybean|sunflower|rapeseed|lard|tallow|propylene|sugar fermentation,humectant|sweetener,"Thickeners, stabilisers, emulsifiers and gelling agents"
412,Guar gum,plant,guar seed,thickener|stabilizer|emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
296,"Malic acid, DL-",synthetic,apple|pear,acidity regulator,Unclassified
440,Pectins,plant,apple|citrus fruit,gelling agent|thickener|stabilizer|emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
955,Sucralose,synthetic,,sweetener,Sweeteners
1204,Pullulan,synthetic,starch hydrolysate from Aureobasidium pullulans,glazing agent|thickener|stabilizer|bulking agent,Unclassified
957,Thaumatin,plant,Thaumatococcus daniellii,flavour enhancer|sweetener,Sweeteners
1422,Acetylated distarch adipate,plant,corn|wheat|tapioca|potato|rice,thickener|stabilizer,Modified starches
1405,Starch sodium octenylsuccinate,plant,corn|wheat|tapioca|potato|rice,emulsifier|stabilizer|thickener,Modified starches
1412,Distarch phosphate,plant,corn|wheat|tapioca|potato|rice,thickener|stabilizer,Modified starches
1442,Hydroxypropyl distarch phosphate,plant,corn|wheat|tapioca|potato|rice,thickener|stabilizer|emulsifier,Modified starches
1401,Acid-treated starch,plant,corn|wheat|tapioca|potato|rice,thickener|stabilizer,Modified starches
1440,Hydroxypropyl starch,plant,corn|wheat|tapioca|potato|rice,thickener|stabilizer|emulsifier,Modified starches
960a,Steviol glycosides,plant,stevia,sweetener,Sweeteners
450,Diphosphates,mineral,rock phosphate,emulsifier|stabilizer|acidity regulator|raising agent|sequestrant|thickener,"Thickeners, stabilisers, emulsifiers and gelling agents"
339,Sodium phosphates,mineral,,acidity regulator|emulsifier|sequestrant|stabilizer,Antioxidants and acidity regulators
340,Potassium phosphates,mineral,,acidity regulator|emulsifier|sequestrant|stabilizer|humectant,Antioxidants and acidity regulators
341,Monocalcium phosphate,mineral,rock phosphate,firming agent|raising agent|acidity regulator|flour treatment agent|anticaking agent|stabilizer|emulsifier|humectant,Antioxidants and acidity regulators
170,Calcium carbonate,mineral,limestone|chalk|marble,color|anticaking agent|stabilizer|acidity regulator,Colours
965,Maltitol,plant,corn,humectant|sweetener|stabilizer,Sweeteners
442,Ammonium phosphatides,synthetic,,emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
460,Microcrystalline cellulose,plant,wood pulp,anticaking agent|emulsifier|stabilizer|thickener,"Thickeners, stabilisers, emulsifiers and gelling agents"
627,Disodium 5'-guanylate,synthetic,,flavour enhancer,Flavour enhancers
400,Alginic acid,plant,brown algae,thickener|stabilizer|gelling agent|emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
429,Phosphatidic acid,animal,soybean|rapeseed|sunflower|egg yolk,emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
436,Polyoxyethylene (20) sorbitan tristearate,synthetic,,emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
