category_id,parent_category,sub_category
1,beverages,aerated_drinks
2,beverages,coffee
3,beverages,flavoured_milk_and_beverages
4,beverages,health_and_energy_drinks
5,beverages,juices_and_fruit_drinks
6,beverages,tea
7,dairy_and_breakfast,breakfast_staples
8,dairy_and_breakfast,cheese_and_butter
9,dairy_and_breakfast,milk_and_curd
10,dairy_and_breakfast,milk_powder_and_whitener
11,health_and_wellness,ayurvedic_and_herbal
12,health_and_wellness,digestives
13,health_and_wellness,infant_nutrition
14,health_and_wellness,nutrition_bars_and_supplements
15,pantry_and_condiments,cooking_pastes_and_bases
16,pantry_and_condiments,pickles_and_chutneys
17,pantry_and_condiments,sauces_and_spreads
18,ready_to_eat_and_ready_to_cook,frozen_non_veg_snacks
19,ready_to_eat_and_ready_to_cook,frozen_veg_and_snacks
20,ready_to_eat_and_ready_to_cook,instant_noodles
21,ready_to_eat_and_ready_to_cook,ready_to_cook_mixes
22,ready_to_eat_and_ready_to_cook,ready_to_eat_meals
23,snacks_and_namkeen,bakery_and_rusks
24,snacks_and_namkeen,biscuits_and_cookies
25,snacks_and_namkeen,chips_and_nachos
26,snacks_and_namkeen,namkeen
27,staples_and_spices,atta_and_flours
28,staples_and_spices,edible_oils
29,staples_and_spices,ghee_and_vanaspati
30,staples_and_spices,pulses_and_dals
31,staples_and_spices,rice_and_grains
32,staples_and_spices,spices_and_masalas
33,staples_and_spices,sugar_and_sweeteners
34,sweets_and_desserts,chocolates
35,sweets_and_desserts,confectionery
36,sweets_and_desserts,ice_cream_and_kulfi
37,sweets_and_desserts,traditional_sweets
