company_id,company_name
1,adani wilmar
2,agro tech foods
3,amul (gcmmf)
4,balaji wafers
5,bikaji foods
6,bikanervala
7,britannia industries
8,capital foods
9,coca-cola india
10,d2c pareto
11,dabur india
12,dodla dairy
13,ds group
14,emami agrotech
15,emami ltd
16,everest food products
17,godrej consumer
18,gopal snacks
19,haldiram's
20,hatsun agro product
21,heritage foods
22,hindustan unilever
23,itc ltd
24,krbl limited
25,lotte india (havmor)
26,lt foods
27,mahashian di hatti
28,marico (food)
29,mccain foods india
30,mondelez india
31,mother dairy
32,nestlé india
33,orkla india
34,parle agro
35,parle products
36,patanjali foods
37,pepsico india
38,prataap snacks
39,standalones / d2c
40,tata consumer products
41,vadilal group
42,zydus wellness
