sku_id,sku_name,brand_id,category_id
1,fortune rice arborio rice,,31
2,fortune atta whole wheat,ifid-b-00001,27
3,fortune basmati rice,ifid-b-00004,31
4,fortune blended oil,ifid-b-00001,28
5,fortune brown rice,ifid-b-00004,31
6,fortune chakki fresh atta,ifid-b-00002,27
7,fortune coconut oil,ifid-b-00003,28
8,fortune flour maida,ifid-b-00002,27
9,fortune groundnut oil,ifid-b-00003,28
10,fortune mini soya chunks,ifid-b-00005,30
11,fortune multigrain atta,ifid-b-00002,27
12,fortune mustard oil,ifid-b-00003,28
13,fortune refined rice bran oil,ifid-b-00001,28
14,fortune refined soybean oil,ifid-b-00001,28
15,fortune refined sunflower oil,ifid-b-00001,28
16,fortune rice biryani,ifid-b-00001,31
17,fortune rice bran oil,ifid-b-00003,28
18,fortune rice sella,ifid-b-00001,31
19,fortune soyabean oil,ifid-b-00003,28
20,fortune soya chunks,ifid-b-00005,30
21,fortune soya granules,ifid-b-00005,30
22,fortune sunflower oil 17% less oil absorption,ifid-b-00003,28
23,fortune sunflower oil sunlite,ifid-b-00003,28
24,fortune whole wheat atta,ifid-b-00002,27
25,king's blended oil,ifid-b-00006,28
26,king's kachi ghani mustard oil,ifid-b-00006,28
27,king's refined soyabean oil,ifid-b-00006,28
28,king's refined soybean oil,ifid-b-00006,28
29,king's refined sunflower oil,ifid-b-00006,28
30,kohinoor basmati rice silver,ifid-b-00007,31
31,kohinoor basmati rice traditional,ifid-b-00007,31
32,kohinoor brown basmati rice,ifid-b-00007,31
33,kohinoor classic gold basmati rice,ifid-b-00007,31
34,kohinoor extra flavor basmati rice,ifid-b-00007,31
35,kohinoor heritage basmati rice,ifid-b-00007,31
36,kohinoor mogra basmati rice,ifid-b-00007,31
37,raag gold vanaspati,ifid-b-00008,29
38,raag premium vanaspati,ifid-b-00008,29
39,raag vanaspati ghee,ifid-b-00008,29
40,act ii microwave popcorn butter,ifid-b-00009,21
41,act ii ready to eat popcorn,ifid-b-00009,21
42,sundrop refined rice bran oil,ifid-b-00010,28
43,sundrop refined soybean oil,ifid-b-00010,28
44,sundrop refined sunflower oil,ifid-b-00010,28
45,amul almond bar,ifid-b-00013,34
46,amul alphonso mango,ifid-b-00014,36
47,amul belgian milk chocolate,ifid-b-00013,34
48,amul best wishes emotion pack,ifid-b-00013,34
49,amul bindaaz wafer chocolate,ifid-b-00013,34
50,amul buffalo milk,ifid-b-00018,9
51,amul butterscotch,ifid-b-00014,36
52,amul butter table butter,ifid-b-00011,8
53,amul camel milk chocolate,ifid-b-00013,34
54,amul chai mazza,ifid-b-00018,9
55,amul cheese sauce,ifid-b-00012,8
56,amul cheese spread,ifid-b-00012,8
57,amul choco almond kesar badam,ifid-b-00014,36
58,amul choco caramel sundae,ifid-b-00014,36
59,amul choco cracker,ifid-b-00013,34
60,amul chocolate,ifid-b-00014,36
61,amul chocolate magic sundae,ifid-b-00014,36
62,amul chocolate syrup,ifid-b-00013,34
63,amul chocomini,ifid-b-00013,34
64,amul chocozoo,ifid-b-00013,34
65,amul cow milk,ifid-b-00018,9
66,amul cream cheese,ifid-b-00012,8
67,amul dark chocolate 55 percent,ifid-b-00013,34
68,amul dark chocolate 75 percent,ifid-b-00013,34
69,amul dark chocolate 90 percent,ifid-b-00013,34
70,amul dark chocolate 99 percent,ifid-b-00013,34
71,amul diced mozzarella cheese,ifid-b-00012,8
72,amul energy bar,ifid-b-00013,14
73,amul fruit n nut,ifid-b-00014,36
74,amul fruit n nut dark chocolate,ifid-b-00013,34
75,amul gold,ifid-b-00018,9
76,amul gouda cheese,ifid-b-00012,8
77,amul green tea dark chocolate,ifid-b-00013,34
78,amul happy birthday emotion pack,ifid-b-00013,34
79,amul hazelnut chocolate,ifid-b-00013,34
80,amul i love you emotion pack,ifid-b-00013,34
81,amul kesar pista,ifid-b-00014,36
82,amul kool cafe,ifid-b-00015,3
