SKU,brand_name,company_name,parent_category,sub_category
bingo potato chips original style,bingo,itc ltd,snacks_and_namkeen,chips_and_nachos
bingo tedhe medhe corn snacks,bingo,itc ltd,snacks_and_namkeen,chips_and_nachos
doritos cool ranch,doritos,pepsico india,snacks_and_namkeen,chips_and_nachos
doritos dinamita fiery lime and chilli,doritos,pepsico india,snacks_and_namkeen,chips_and_nachos
doritos dinamita sizzlin hot,doritos,pepsico india,snacks_and_namkeen,chips_and_nachos
doritos nacho cheese,doritos,pepsico india,snacks_and_namkeen,chips_and_nachos
doritos sweet chili,doritos,pepsico india,snacks_and_namkeen,chips_and_nachos
kurkure chilli chatka,kurkure,pepsico india,snacks_and_namkeen,chips_and_nachos
kurkure green chutney rajasthani style,kurkure,pepsico india,snacks_and_namkeen,chips_and_nachos
kurkure jowar puffs,kurkure,pepsico india,snacks_and_namkeen,chips_and_nachos
kurkure masala munch,kurkure,pepsico india,snacks_and_namkeen,chips_and_nachos
kurkure naughty tomato,kurkure,pepsico india,snacks_and_namkeen,chips_and_nachos
kurkure pastax,kurkure,pepsico india,snacks_and_namkeen,chips_and_nachos
kurkure puffcorn yummy cheese,kurkure,pepsico india,snacks_and_namkeen,chips_and_nachos
kurkure schezwan chutney,kurkure,pepsico india,snacks_and_namkeen,chips_and_nachos
kurkure solid masti,kurkure,pepsico india,snacks_and_namkeen,chips_and_nachos
kurkure zig zag,kurkure,pepsico india,snacks_and_namkeen,chips_and_nachos
lay's american style cream and onion,lay's,pepsico india,snacks_and_namkeen,chips_and_nachos
lay's baked,lay's,pepsico india,snacks_and_namkeen,chips_and_nachos
lay's classic salted,lay's,pepsico india,snacks_and_namkeen,chips_and_nachos
lay's flaming hot,lay's,pepsico india,snacks_and_namkeen,chips_and_nachos
lay's honey bbq,lay's,pepsico india,snacks_and_namkeen,chips_and_nachos
lay's kettle cooked,lay's,pepsico india,snacks_and_namkeen,chips_and_nachos
lay's kettle cooked indian tikka masala,lay's,pepsico india,snacks_and_namkeen,chips_and_nachos
lay's lime and masala masti,lay's,pepsico india,snacks_and_namkeen,chips_and_nachos
lay's magic masala,lay's,pepsico india,snacks_and_namkeen,chips_and_nachos
lay's mexican salsa,lay's,pepsico india,snacks_and_namkeen,chips_and_nachos
lay's salt and vinegar,lay's,pepsico india,snacks_and_namkeen,chips_and_nachos
lay's spanish tomato tango,lay's,pepsico india,snacks_and_namkeen,chips_and_nachos
lay's stax original,lay's,pepsico india,snacks_and_namkeen,chips_and_nachos
lay's wafer himalayan pink salt,lay's,pepsico india,snacks_and_namkeen,chips_and_nachos
lay's wavy masala,lay's,pepsico india,snacks_and_namkeen,chips_and_nachos
lay's wavy original,lay's,pepsico india,snacks_and_namkeen,chips_and_nachos
yellow diamond chips potato simply salted,yellow diamond,prataap snacks,snacks_and_namkeen,chips_and_nachos
slurrp farm puffs ragi,slurrp farm,standalone / d2c,snacks_and_namkeen,chips_and_nachos
tata soulfull ragi bites stick format,tata soulfull,tata consumer products,snacks_and_namkeen,chips_and_nachos
amul almond bar,amul chocolates,amul (gcmmf),sweets_and_desserts,chocolates
amul belgian milk chocolate,amul chocolates,amul (gcmmf),sweets_and_desserts,chocolates
amul best wishes emotion pack,amul chocolates,amul (gcmmf),sweets_and_desserts,chocolates
amul bindaaz wafer chocolate,amul chocolates,amul (gcmmf),sweets_and_desserts,chocolates
amul camel milk chocolate,amul chocolates,amul (gcmmf),sweets_and_desserts,chocolates
amul choco cracker,amul chocolates,amul (gcmmf),sweets_and_desserts,chocolates
amul chocolate syrup,amul chocolates,amul (gcmmf),sweets_and_desserts,chocolates
amul chocomini,amul chocolates,amul (gcmmf),sweets_and_desserts,chocolates
amul chocozoo,amul chocolates,amul (gcmmf),sweets_and_desserts,chocolates
amul dark chocolate 55 percent,amul chocolates,amul (gcmmf),sweets_and_desserts,chocolates
amul dark chocolate 75 percent,amul chocolates,amul (gcmmf),sweets_and_desserts,chocolates
amul dark chocolate 90 percent,amul chocolates,amul (gcmmf),sweets_and_desserts,chocolates
amul dark chocolate 99 percent,amul chocolates,amul (gcmmf),sweets_and_desserts,chocolates
amul fruit n nut dark chocolate,amul chocolates,amul (gcmmf),sweets_and_desserts,chocolates
amul green tea dark chocolate,amul chocolates,amul (gcmmf),sweets_and_desserts,chocolates
amul hazelnut chocolate,amul chocolates,amul (gcmmf),sweets_and_desserts,chocolates
amul i love you emotion pack,amul chocolates,amul (gcmmf),sweets_and_desserts,chocolates
amul milk chocolate,amul chocolates,amul (gcmmf),sweets_and_desserts,chocolates
