variant,source,variant_signal_class,class_count,noise_or_signal
oil,palm | soybean | sunflower | groundnut,"canonical_form, form_signal, multi_source",3,signal
snf,milk,"canonical_form, form_signal, abbreviation_signal",3,signal
soy,soybean,canonical_form,1,signal
tvp,soybean,"redundant_variant, out_of_scope, canonical_form, abbreviation_signal",4,mixed
oat,oat,canonical_form,1,signal
wpc,milk,"canonical_form, abbreviation_signal",2,signal
dha,algae | fish,"canonical_form, abbreviation_signal, multi_source",3,signal
egg,egg,canonical_form,1,signal
hvp,soybean,"canonical_form, abbreviation_signal",2,signal
tea,tea,canonical_form,1,signal
fig,fig,canonical_form,1,signal
fos,sugarcane | chicory,"canonical_form, abbreviation_signal, multi_source",3,signal
rye,rye,canonical_form,1,signal
tvp,soybean,"redundant_variant, out_of_scope, canonical_form, abbreviation_signal",4,mixed
palm,palm,canonical_form,1,signal
oils,palm | soybean | sunflower | groundnut,"canonical_form, form_signal, multi_source",3,signal
salt,mineral,"redundant_variant, canonical_form, form_signal",3,mixed
sait,mineral,"orthographic_noise, linguistic_signal, canonical_form",3,mixed
salz,mineral,"orthographic_noise, linguistic_signal, canonical_form",3,mixed
date,date,canonical_form,1,signal
milk,milk,"redundant_variant, canonical_form, form_signal",3,mixed
milk,milk,"redundant_variant, canonical_form, form_signal",3,mixed
ragi,ragi,"transliteration_signal, canonical_form",2,signal
mint,mint,canonical_form,1,signal
soya,soybean,canonical_form,1,signal
urad,urad,"transliteration_signal, canonical_form",2,signal
zinc,mineral,"canonical_form, grade_signal, fortification_signal",3,signal
oats,oats,canonical_form,1,signal
hing,asafoetida,transliteration_signal,1,signal
peas,peas,canonical_form,1,signal
milk,milk,"redundant_variant, canonical_form, form_signal",3,mixed
whey,milk,"canonical_form, form_signal",2,signal
amra,hog plum,canonical_form,1,signal
พริก,chili,linguistic_signal,1,signal
curd,milk,"canonical_form, form_signal",2,signal
dahi,milk,"transliteration_signal, form_signal",2,signal
ghee,milk,"transliteration_signal, form_signal",2,signal
lime,lime,canonical_form,1,signal
mace,mace,canonical_form,1,signal
monk,monk fruit,canonical_form,1,signal
okra,okra,canonical_form,1,signal
plum,plum,canonical_form,1,signal
rice,rice,canonical_form,1,signal
paua,abalone,transliteration_signal,1,signal
poha,rice,transliteration_signal,1,signal
sago,sago,"transliteration_signal, canonical_form",2,signal
rava,wheat,"transliteration_signal, form_signal",2,signal
salt,mineral,"redundant_variant, canonical_form, form_signal",3,mixed
atta,wheat,transliteration_signal,1,signal
figs,fig,canonical_form,1,signal
balm,balm,canonical_form,1,signal
bran,wheat,"canonical_form, form_signal",2,signal
kale,kale,canonical_form,1,signal
khoa,milk,transliteration_signal,1,signal
carot,carrot,"orthographic_noise, canonical_form",2,mixed
cream,milk,"canonical_form, form_signal",2,signal
dates,date,"orthographic_noise, canonical_form",2,mixed
maida,wheat,transliteration_signal,1,signal
mango,mango,"orthographic_noise, canonical_form",2,mixed
dairy,milk,"redundant_variant, canonical_form, grade_signal",3,mixed
khoya,milk,"orthographic_noise, canonical_form",2,mixed
bajra,pearl millet,transliteration_signal,1,signal
jowar,sorghum,transliteration_signal,1,signal
pista,pistachio,transliteration_signal,1,signal
sugar,sugarcane,"orthographic_noise, canonical_form, form_signal",3,mixed
sucre,sugarcane,"orthographic_noise, linguistic_signal, canonical_form",3,mixed
đường,sugarcane,linguistic_signal,1,signal
kakvi,sugarcane,transliteration_signal,1,signal
wafer,wheat,"canonical_form, form_signal",2,signal
wheat,wheat,"redundant_variant, canonical_form",2,mixed
kesar,saffron,"transliteration_signal, grade_signal",2,signal
mater,peas,canonical_form,1,signal
yeast,yeast,"canonical_form, grade_signal",2,signal
apple,apple,canonical_form,1,signal
basil,basil,canonical_form,1,signal
tulsi,tulsi,"transliteration_signal, canonical_form",2,signal
beans,beans,"canonical_form, form_signal",2,signal
besan,chickpea,transliteration_signal,1,signal
chana,chickpea,transliteration_signal,1,signal
clove,clove,canonical_form,1,signal
cocoa,cocoa,canonical_form,1,signal
cumin,cumin,canonical_form,1,signal
jeera,cumin,transliteration_signal,1,signal
moong,mung bean,transliteration_signal,1,signal
guava,guava,canonical_form,1,signal
honey,honey,"canonical_form, form_signal",2,signal
leeks,leek,canonical_form,1,signal
lemon,lemon,canonical_form,1,signal
dairy,milk,"redundant_variant, canonical_form, grade_signal",3,mixed
salts,mineral,"orthographic_noise, canonical_form",2,mixed
onion,onion,"orthographic_noise, canonical_form",2,mixed
sooji,wheat,transliteration_signal,1,signal
wheat,wheat,"redundant_variant, canonical_form",2,mixed
supar,areca nut,canonical_form,1,signal
thyme,thyme,canonical_form,1,signal
water,water,"canonical_form, form_signal",2,signal
brine,mineral,canonical_form,1,signal
lupin,lupin,canonical_form,1,signal
musli,safed musli,canonical_form,1,signal
oxide,mineral,"canonical_form, form_signal",2,signal
pipal,long pepper,"orthographic_noise, canonical_form",2,mixed
spelt,spelt,canonical_form,1,signal
carrot,carrot,"orthographic_noise, canonical_form",2,mixed
turnip,turnip,canonical_form,1,signal
cashew,cashew,"orthographic_noise, canonical_form, grade_signal",3,mixed
garlic,garlic,canonical_form,1,signal
ginger,ginger,canonical_form,1,signal
sunthi,ginger,canonical_form,1,signal
amchur,mango,"orthographic_noise, transliteration_signal",2,mixed
millet,millet,"orthographic_noise, canonical_form",2,mixed
quinoa,quinoa,"redundant_variant, canonical_form",2,mixed
saamai,little millet,canonical_form,1,signal
nachni,finger millet,transliteration_signal,1,signal
fudina,mint,canonical_form,1,signal
raisin,grape,"orthographic_noise, canonical_form",2,mixed
sesame,sesame,canonical_form,1,signal
soynut,soybean,"orthographic_noise, canonical_form",2,mixed
stevia,stevia,canonical_form,1,signal
sugars,sugarcane,"orthographic_noise, canonical_form",2,mixed
zucker,sugarcane,"linguistic_signal, canonical_form",2,signal
mishri,sugarcane,transliteration_signal,1,signal
waffle,wheat,"out_of_scope, canonical_form",2,mixed
almond,almond,"orthographic_noise, canonical_form, grade_signal",3,mixed
dhania,coriander,canonical_form,1,signal
safron,saffron,"orthographic_noise, canonical_form",2,mixed
fennel,fennel,canonical_form,1,signal
ajwain,carom,transliteration_signal,1,signal
ajowan,ajowan,canonical_form,1,signal
coffee,coffee,canonical_form,1,signal
banana,banana,canonical_form,1,signal
barley,barley,canonical_form,1,signal
pepper,pepper,"redundant_variant, canonical_form",2,mixed
brahmi,brahmi,canonical_form,1,signal
butter,milk,"canonical_form, form_signal",2,signal
celery,celery,canonical_form,1,signal
cheese,milk,"redundant_variant, canonical_form, form_signal",3,mixed
paneer,milk,transliteration_signal,1,signal
cheese,milk,"redundant_variant, canonical_form, form_signal",3,mixed
