variant,source,e_explicit,m_explicit,f_explicit,e_could_be,m_could_be,f_could_be,e_score,m_score,f_score,e_max,m_max,f_max,d_min,d_max,zone,uncertain,question_tags
oil,palm | soybean | sunflower | groundnut,NULL,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
snf,milk,NULL,powder,base ingredient,NULL,concentrate,NULL,0,0.42,0.12,0,0.42,0.12,0.174,0.174,1,False,False
soy,soybean,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False
tvp,soybean,NULL,protein concentrate,base ingredient,?extrusion,NULL,NULL,0,0.74,0.12,0.6,0.74,0.12,0.27,0.45,1,True,True
oat,oat,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False
wpc,milk,NULL,protein concentrate,base ingredient,NULL,whey powder,NULL,0,0.74,0.12,0,0.74,0.12,0.27,0.27,1,False,False
dha,algae | fish,NULL,oil,lipid base,solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
egg,egg,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False
hvp,soybean,?hydrolysis,protein concentrate,base ingredient,NULL,NULL,flavouring agent,0.6,0.74,0.12,0.6,0.74,0.675,0.45,0.672,2,False,True
tea,tea,NULL,NULL,flavouring agent,fermentation,whole/fresh pieces|powder,taste profile / spice,0,0,0.675,0.56,0.42,0.675,0.27,0.564,1,True,False
fig,fig,NULL,whole/fresh pieces,base ingredient,NULL,NULL,sweetener,0,0.05,0.12,0,0.05,0.625,0.063,0.265,1,False,False
bht,synthetic,NULL,crystalline chemical,antioxidant|preservative,NULL,NULL,NULL,0,0.98,0.885,0,0.98,0.885,0.648,0.648,2,False,False
fos,sugarcane | chicory,NULL,powder,sweetener|bulking agent,NULL,NULL,?prebiotic,0,0.42,0.625,0,0.42,0.625,0.376,0.376,2,False,True
rye,rye,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False
tvp,soybean,NULL,protein concentrate,base ingredient,?extrusion,NULL,NULL,0,0.74,0.12,0.6,0.74,0.12,0.27,0.45,1,True,True
palm,palm,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False
oils,palm | soybean | sunflower | groundnut,NULL,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
salt,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
sait,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
salz,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
date,date,NULL,whole/fresh pieces,base ingredient,NULL,NULL,sweetener,0,0.05,0.12,0,0.05,0.625,0.063,0.265,1,False,False
milk,milk,NULL,NULL,base ingredient,pasteurization,NULL,NULL,0,0,0.12,0.48,0,0.12,0.048,0.192,1,False,False
milk,milk,NULL,NULL,base ingredient,pasteurization,NULL,NULL,0,0,0.12,0.48,0,0.12,0.048,0.192,1,False,False
ragi,ragi,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False
mint,mint,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False
soya,soybean,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False
urad,urad,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False
zinc,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
oats,oats,NULL,NULL,base ingredient,milling,flour/fine powder|flakes,NULL,0,0,0.12,0.28,0.36,0.12,0.048,0.24,1,False,False
hing,asafoetida,NULL,extract/oleoresin,taste profile / spice,?compounding,NULL,flavouring agent,0,0.86,0.18,0.35,0.86,0.675,0.33,0.633,2,False,True
